@relation inflection_verbs
@attribute ending {ar,er,ir}
@attribute endingstem string
@attribute penSyl string
@attribute person {0, 1, 2, 3}
@attribute number {0, 1}
@attribute tense {0, 1, 2, 3, 4}
@attribute mood {0, 1, 2, 3}
@attribute suff1 string
@attribute suff2 string
@data
ar,and,NULL,3,0,2,1,anduviere,ANY
ar,and,NULL,1,1,2,1,anduviéremos,ANY
ar,and,NULL,2,1,2,1,anduviereis,ANY
ar,and,NULL,3,1,2,1,anduvieren,ANY
ar,desand,NULL,1,0,2,1,desanduviere,ANY
ar,desand,NULL,2,0,2,1,desanduvieres,ANY
ar,desand,NULL,3,0,2,1,desanduviere,ANY
ar,desand,NULL,1,1,2,1,desanduviéremos,ANY
ar,desand,NULL,2,1,2,1,desanduviereis,ANY
ar,desand,NULL,3,1,2,1,desanduvieren,ANY
ar,d,NULL,1,0,2,1,diere,ANY
ar,d,NULL,2,0,2,1,dieres,ANY
ar,d,NULL,3,0,2,1,diere,ANY
ar,d,NULL,1,1,2,1,diéremos,ANY
ar,d,NULL,2,1,2,1,diereis,ANY
ar,d,NULL,3,1,2,1,dieren,ANY
er,ca,ANY,1,0,0,0,caigo,ANY
er,ca,ANY,2,0,0,0,caes,ANY
er,ca,ANY,3,0,0,0,cae,ANY
er,ca,ANY,1,1,0,0,caemos,ANY
er,ca,ANY,2,1,0,0,caéis,ANY
er,ca,ANY,3,1,0,0,caen,ANY
er,e,ANY,1,0,0,0,eo,ANY
er,e,ANY,2,0,0,0,ees,ANY
er,e,ANY,3,0,0,0,ee,ANY
er,e,ANY,1,1,0,0,eemos,ANY
er,e,ANY,2,1,0,0,eéis,ANY
er,e,ANY,3,1,0,0,een,ANY
er,ñ,ANY,1,0,0,0,ño,ANY
er,ñ,ANY,2,0,0,0,ñes,ANY
er,ñ,ANY,3,0,0,0,ñe,ANY
er,ñ,ANY,1,1,0,0,ñemos,ANY
er,ñ,ANY,2,1,0,0,ñéis,ANY
er,ñ,ANY,3,1,0,0,ñen,ANY
er,v,ANY,1,0,0,0,veo,ANY
er,v,ANY,2,0,0,0,ves,ANY
er,v,ANY,3,0,0,0,ve,ANY
er,v,ANY,1,1,0,0,vemos,ANY
er,v,ANY,2,1,0,0,véis,ANY
er,v,ANY,3,1,0,0,ven,ANY
er,ca,ANY,1,0,1,0,caía,ANY
er,ca,ANY,2,0,1,0,caías,ANY
er,ca,ANY,3,0,1,0,caía,ANY
er,ca,ANY,1,1,1,0,caíamos,ANY
er,ca,ANY,2,1,1,0,caíais,ANY
er,ca,ANY,3,1,1,0,caían,ANY
er,e,ANY,1,0,1,0,eía,ANY
er,e,ANY,2,0,1,0,eías,ANY
er,e,ANY,3,0,1,0,eía,ANY
er,e,ANY,1,1,1,0,eíamos,ANY
er,e,ANY,2,1,1,0,eíais,ANY
er,e,ANY,3,1,1,0,eían,ANY
er,ñ,ANY,1,0,1,0,ñía,ANY
er,ñ,ANY,2,0,1,0,ñías,ANY
er,ñ,ANY,3,0,1,0,ñía,ANY
er,ñ,ANY,1,1,1,0,ñíamos,ANY
er,ñ,ANY,2,1,1,0,ñíais,ANY
er,ñ,ANY,3,1,1,0,ñían,ANY
er,v,ANY,1,0,1,0,veía,ANY
er,v,ANY,2,0,1,0,veías,ANY
er,v,ANY,3,0,1,0,veía,ANY
er,v,ANY,1,1,1,0,veíamos,ANY
er,v,ANY,2,1,1,0,veíais,ANY
er,v,ANY,3,1,1,0,veían,ANY
er,ca,ANY,1,0,3,0,caí,ANY
